pca1,pca2,class
-3.31675081221478,-1.44346263431801,1
-2.20946491691885,0.333392887080303,1
-2.51674014661038,-1.03115129627432,1
-3.75706560977321,-2.75637191371071,1
-1.00890849379572,-0.869830821417204,1
-3.05025392241808,-2.12240111463419,1
-2.44908966959623,-1.17485013164947,1
-2.05943687143792,-1.60896306836351,1
-2.51087429739899,-0.918070957333774,1
-2.75362818763391,-0.789437673833603,1
-3.47973668273121,-1.30233323712359,1
-1.75475290129459,-0.611977228745629,1
-2.1134623403151,-0.675706339142616,1
-3.45815681933672,-1.13062987617293,1
-4.31278390676556,-2.09597557534126,1
-2.30518820082797,-1.66255172998905,1
-2.17195527374152,-2.32730533619142,1
-1.89897117656276,-1.63136887864284,1
-3.54198508194347,-2.51834366930664,1
-2.08452220473031,-1.06113799358386,1
-3.1244025351672,-0.786897105650892,1
-1.08657006833224,-0.241743551332838,1
-2.53522407990371,0.091840620720883,1
-1.64498834125447,0.516278930067237,1
-1.7615758722693,0.317148932684383,1
-0.990079101608856,-0.940667338190634,1
-1.77527762811337,-0.686175134285021,1
-1.23542396430991,0.089807041360642,1
-2.18840633445196,-0.689569620661622,1
-2.25610898128371,-0.191461936886662,1
-2.50022002578943,-1.24083383489694,1
-2.67741104744402,-1.47187364610325,1
-1.62857911643092,-0.052704450575322,1
-1.90269086223815,-1.63306043476998,1
-1.41038852659541,-0.697934324611356,1
-1.90382623219449,-0.176710951095454,1
-1.38486223037484,-0.658639853661148,1
-1.12220741044131,-0.114109760296887,1
-1.50219450061819,0.76943200643101,1
-2.52980109237181,-1.80300197606183,1
-2.5880954258544,-0.779616304192505,1
-0.668481993754186,-0.169960940619873,1
-3.07080699041201,-1.15591895660988,1
-0.462209137516007,-0.330742132192274,1
-2.10135193053802,0.071008920954069,1
-1.13616617756102,-1.77710739297764,1
-2.7266009636408,-1.19133469195718,1
-2.82133927419225,-0.6462585991417,1
-2.00985085091236,-1.24702946067876,1
-2.7074913042664,-1.75196740720633,1
-3.21491747477382,-0.166991994996787,1
-2.85895982671729,-0.745278803989585,1
-3.50560435592323,-1.61273385603501,1
-2.22479138053217,-1.87516799956302,1
-2.14698782356387,-1.01675153775766,1
-2.46932948379779,-1.32900831064962,1
-2.74151791427745,-1.43654878351251,1
-2.17374092096531,-1.21219984069779,1
-3.139380151829,-1.73157911599251,1
0.928581968921858,3.07348616318893,2
1.54248013789688,1.38144350809423,2
1.83624976346694,0.829984123055718,2
-0.030606834086679,1.2627861442114,2
-2.05026160757631,1.9250326046501,2
0.609680827177625,1.90805880508519,2
-0.900227838707142,0.76391147360961,2
-2.24850719079839,1.88459248455014,2
-0.183384026684752,2.42714611470357,2
0.812805027352072,0.220513986902269,2
-1.97562049879855,1.40328322530961,2
1.5722162196263,0.884983136908221,2
-1.65768180883329,0.95671219745915,2
0.725372388035357,1.06364540070609,2
-2.56222717317036,-0.260198550654596,2
-1.83256757004955,1.28787819786053,2
0.867992903195415,2.44410118558086,2
-0.370014404294781,2.15390697515699,2
1.45737704490614,1.38335176907626,2
-1.2629308497285,0.770849529970117,2
-0.376150371934239,1.02704340335582,2
-0.762063904109595,3.37505380996354,2
-1.03457796716518,1.45070973824409,2
0.494876755680332,2.38124352676737,2
2.53897708429512,0.087443357304982,2
-0.835320145394295,1.47367055140087,2
-0.787904614989707,2.02662652246248,2
0.806832155965542,2.23383039084391,2
0.558042624875687,2.37298542884945,2
1.11511104191945,1.80224719166545,2
0.555722829951706,2.65754003539229,2
1.34928528244373,2.11800146978482,2
1.56448260571991,1.85221452176555,2
1.93255561063147,1.55949545689862,2
-0.746665941988447,2.31293170922074,2
-0.957455363803638,2.22352843466746,2
-2.54386518419955,-0.169274022799742,2
0.54395258877623,0.368926545877314,2
-1.03104975038815,2.56556934873352,2
-2.25190942214812,1.43274138035426,2
-1.41021601533746,2.16619176937038,2
-0.797719792693038,2.37694880308186,2
0.549531726649467,2.29312864324563,2
0.161173739948547,1.16448332156002,2
0.659794941684364,2.67996118598963,2
-0.392354408185079,2.09873170876554,2
1.77249907796004,1.71728846937614,2
0.366267357352068,2.16935329782928,2
1.62067257278748,1.35558338802596,2
-0.082535783493325,2.30623458774832,2
-1.57827507093238,1.46203429020482,2
-1.42056924782401,1.41820663763375,2
0.278702753648857,1.93056808867047,2
1.30314496624828,0.76317231365779,2
0.457071865652628,2.26941560758967,2
0.494185847044379,1.93904504948683,2
-0.482074409773088,3.87178384840724,2
0.252888877653204,2.82149237470159,2
0.107227637729126,1.92892204256696,2
2.43301260255022,1.25714104049439,2
0.551089539174654,2.22216155077662,2
-0.739621928568219,1.40895666736571,2
-1.33632173341833,-0.253336931168305,2
1.17708699624777,0.66396683980157,2
0.46233500801968,0.618288179485043,2
-0.978474079356645,1.44557049889583,2
0.096809726315989,2.10999799313523,2
-0.038487145949023,1.26676210915789,2
1.59715850120747,1.20814357412848,2
0.479564916083129,1.93884066039405,2
1.79283347303115,1.1502881044421,2
1.3271016561416,-0.170389232049029,3
2.38450083474353,-0.374582605524694,3
2.93694010214661,-0.263861830068381,3
2.14681113381606,-0.368254951886462,3
2.36986948833304,0.459634809231166,3
3.06384156872035,-0.353412835458403,3
3.91575378371189,-0.154582519441734,3
3.93646339071596,-0.659687233409784,3
3.09427611776228,-0.348842759273796,3
2.37447162800692,-0.291980351559995,3
2.77881294763251,-0.286804872882176,3
2.28656128473847,-0.372507844685299,3
2.98563348744947,-0.489217908347014,3
2.37519469822711,-0.482333717244878,3
2.20986552559587,-1.16005250415764,3
2.62562100469272,-0.563160764210836,3
4.28063877875109,-0.649670964023707,3
3.5826413720011,-1.2727027497273,3
2.80706372008166,-1.5705337870412,3
2.89965933302391,-2.04105700793846,3
2.3207369765492,-2.35636607555667,3
2.54983094722613,-2.04528309101952,3
1.8125412848423,-1.52764594626875,3
2.76014464192395,-2.13893234764261,3
2.73715050066799,-0.409886270881791,3
3.60486886818342,-1.80238421758397,3
2.8898259968735,-1.92521861313034,3
3.39215607683572,-1.3118763884736,3
1.04818189685367,-3.51508969121973,3
1.60991228284793,-2.40663815957432,3
3.14313096674397,-0.738161044175797,3
2.24015689626954,-1.17546528811887,3
2.84767377611952,-0.556043965882675,3
2.59749705664876,-0.69796553720092,3
2.94929937313484,-1.55530896428398,3
3.53003226634931,-0.882526796204236,3
2.40611054047855,-2.5923561750424,3
2.92908472696745,-1.27444694790448,3
2.18141277881262,-2.07753731273451,3
2.38092778713564,-2.58866743241859,3
3.21161721504125,0.25124910442559,3
3.67791872097382,-0.847747844149763,3
2.46555579804045,-2.19379830365409,3
3.37052414544286,-2.21628913986114,3
2.60195585122474,-1.75722935097927,3
2.6778394608645,-2.76089913167454,3
2.38701709127972,-2.29734667971282,3
3.20875816419802,-2.76891956604757,3
